run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,bin_mid_hpf,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
phase2_24_48_ott_v1,20251112_D02_e01__24to26,20251112_D02_e01,heldout_wt,1,cep290_wildtype,24.0,26.0,25.0,-1395.4075,-280.20932,71.72631,2.2504761,-52.397434,32.16135,46.61106,1.2346951,-50.71756,35.39579
phase2_24_48_ott_v1,20251112_D02_e01__26to28,20251112_D02_e01,heldout_wt,1,cep290_wildtype,26.0,28.0,27.0,-1291.4177,-495.75436,103.83538,12.471523,-27.951525,29.934027,77.46358,24.129309,-61.385796,8.012901
phase2_24_48_ott_v1,20251112_D02_e01__28to30,20251112_D02_e01,heldout_wt,1,cep290_wildtype,28.0,30.0,29.0,-903.2936,-560.84686,94.03079,18.54346,3.0141478,39.713333,45.241776,20.521133,-38.708363,-20.637022
phase2_24_48_ott_v1,20251112_D02_e01__30to32,20251112_D02_e01,heldout_wt,1,cep290_wildtype,30.0,32.0,31.0,-12000.723,1017.84607,671.8671,1128.9354,-388.43716,405.33524,1089.3906,-175.67075,-344.87143,1103.042
phase2_24_48_ott_v1,20251112_D02_e01__32to34,20251112_D02_e01,heldout_wt,1,cep290_wildtype,32.0,34.0,33.0,8915.767,-2112.3914,207.9414,937.68005,-155.99095,263.33954,-511.95764,147.93759,303.8377,486.5692
phase2_24_48_ott_v1,20251112_D02_e01__34to36,20251112_D02_e01,heldout_wt,1,cep290_wildtype,34.0,36.0,35.0,630.8232,-1245.2545,182.71408,-47.340427,14.000207,-62.708668,-16.860983,94.03068,-22.746124,-7.1314254
phase2_24_48_ott_v1,20251112_D02_e01__36to38,20251112_D02_e01,heldout_wt,1,cep290_wildtype,36.0,38.0,37.0,-2992.5142,-474.88626,221.1608,9.017706,-81.49515,15.510834,54.486,-14.3192425,-94.27202,100.38688
phase2_24_48_ott_v1,20251112_D02_e01__38to40,20251112_D02_e01,heldout_wt,1,cep290_wildtype,38.0,40.0,39.0,57.455807,-780.1271,55.87992,-15.180789,28.121866,-4.4978094,-53.17091,62.95581,-1.3151389,18.36984
phase2_24_48_ott_v1,20251112_D02_e01__40to42,20251112_D02_e01,heldout_wt,1,cep290_wildtype,40.0,42.0,41.0,-1713.9823,-726.2691,223.5801,65.48458,13.399333,57.140427,50.77276,108.29386,-140.68,-11.852167
phase2_24_48_ott_v1,20251112_D02_e01__42to44,20251112_D02_e01,heldout_wt,1,cep290_wildtype,42.0,44.0,43.0,-1718.5398,-722.26807,158.05307,-11.720418,-68.69297,-0.19640455,41.758015,13.723507,24.678299,34.69437
phase2_24_48_ott_v1,20251112_D02_e01__44to46,20251112_D02_e01,heldout_wt,1,cep290_wildtype,44.0,46.0,45.0,1.9235163,-856.4628,76.53293,13.034996,67.8249,30.10391,-29.649502,76.43363,-83.015656,-85.33703
phase2_24_48_ott_v1,20251112_D02_e01__46to48,20251112_D02_e01,heldout_wt,1,cep290_wildtype,46.0,48.0,47.0,-151.99644,-646.1114,75.04158,-39.580364,24.217342,-7.817882,16.283312,47.79652,-12.227706,-56.69552
phase2_24_48_ott_v1,20251212_B06_e01__24to26,20251212_B06_e01,heldout_wt,2,cep290_wildtype,24.0,26.0,25.0,-2287.1196,-50.669052,129.31126,-9.395338,-55.370747,61.295807,107.98126,25.65527,-56.704517,3.8266497
phase2_24_48_ott_v1,20251212_B06_e01__26to28,20251212_B06_e01,heldout_wt,2,cep290_wildtype,26.0,28.0,27.0,271.06326,-1533.209,199.83525,12.051707,-25.386404,-7.36118,9.868612,52.695,-57.829567,79.250725
phase2_24_48_ott_v1,20251212_B06_e01__28to30,20251212_B06_e01,heldout_wt,2,cep290_wildtype,28.0,30.0,29.0,1089.3593,-698.2546,-44.43208,-155.75294,-20.937603,-66.659904,-36.810143,53.79537,66.49177,-99.56894
phase2_24_48_ott_v1,20251212_B06_e01__30to32,20251212_B06_e01,heldout_wt,2,cep290_wildtype,30.0,32.0,31.0,-840.5098,-1121.7648,181.68657,-9.156571,11.005277,12.633117,27.220892,106.22184,-99.6813,40.12014
phase2_24_48_ott_v1,20251212_B06_e01__32to34,20251212_B06_e01,heldout_wt,2,cep290_wildtype,32.0,34.0,33.0,-1165.1598,-1242.4285,308.58997,9.493257,-2.0842993,55.625027,63.772736,105.878044,-42.363125,54.721954
phase2_24_48_ott_v1,20251212_B06_e01__34to36,20251212_B06_e01,heldout_wt,2,cep290_wildtype,34.0,36.0,35.0,-1336.4779,-730.0513,128.52199,-64.22136,2.3219085,56.976646,-20.148664,90.4752,-55.168175,-31.780027
phase2_24_48_ott_v1,20251212_B06_e01__36to38,20251212_B06_e01,heldout_wt,2,cep290_wildtype,36.0,38.0,37.0,1455.9226,-499.91537,-84.928215,-70.6266,70.25841,-4.41299,-53.06995,20.036419,16.579004,-142.52559
phase2_24_48_ott_v1,20251212_B06_e01__38to40,20251212_B06_e01,heldout_wt,2,cep290_wildtype,38.0,40.0,39.0,-2843.7637,-783.19855,361.5234,163.9217,-69.27363,18.380766,-102.27013,27.954687,-42.017735,143.50534
phase2_24_48_ott_v1,20251212_B06_e01__40to42,20251212_B06_e01,heldout_wt,2,cep290_wildtype,40.0,42.0,41.0,-562.9732,-859.3545,121.85664,-80.12108,17.997284,-8.706036,7.455922,68.75827,-7.185463,-68.81956
phase2_24_48_ott_v1,20251212_B06_e01__42to44,20251212_B06_e01,heldout_wt,2,cep290_wildtype,42.0,44.0,43.0,-1485.2054,-942.7395,152.40321,-36.009037,58.44611,32.26635,-14.789524,70.01485,-124.62905,-166.96074
phase2_24_48_ott_v1,20251212_B06_e01__44to46,20251212_B06_e01,heldout_wt,2,cep290_wildtype,44.0,46.0,45.0,1108.6122,-572.8917,-98.07854,-230.98923,41.884735,-52.33015,-51.49478,-23.549479,117.28981,-28.013477
phase2_24_48_ott_v1,20251212_B06_e01__46to48,20251212_B06_e01,heldout_wt,2,cep290_wildtype,46.0,48.0,47.0,24048.94,7148.3696,-1016.34644,11858.73,-7690.9204,1792.2784,6146.711,-14353.823,8571.347,34482.79
phase2_24_48_ott_v1,20251205_G08_e01__24to26,20251205_G08_e01,heldout_wt,3,cep290_wildtype,24.0,26.0,25.0,-2852.612,625.59906,-21.493528,41.81476,-29.911406,38.00533,165.73558,36.502224,33.876827,-35.03118
phase2_24_48_ott_v1,20251205_G08_e01__26to28,20251205_G08_e01,heldout_wt,3,cep290_wildtype,26.0,28.0,27.0,686.67816,-1436.1497,133.02666,59.513737,36.4261,11.709396,-76.13258,89.02904,39.42757,50.621094
phase2_24_48_ott_v1,20251205_G08_e01__28to30,20251205_G08_e01,heldout_wt,3,cep290_wildtype,28.0,30.0,29.0,-167.23978,-877.70685,136.73062,86.78586,1.1366034,55.7377,16.099773,23.183838,-16.042625,25.847008
phase2_24_48_ott_v1,20251205_G08_e01__30to32,20251205_G08_e01,heldout_wt,3,cep290_wildtype,30.0,32.0,31.0,-1497.89,-361.6514,121.45514,-36.811172,-19.472456,27.398064,59.230457,7.954056,-26.926933,43.3722
phase2_24_48_ott_v1,20251205_G08_e01__32to34,20251205_G08_e01,heldout_wt,3,cep290_wildtype,32.0,34.0,33.0,-2532.9746,-1092.7528,364.36713,-49.199665,106.620476,110.06505,73.36704,53.5634,2.548927,8.366558
phase2_24_48_ott_v1,20251205_G08_e01__34to36,20251205_G08_e01,heldout_wt,3,cep290_wildtype,34.0,36.0,35.0,3326.9126,-151.79967,-339.4652,-182.45593,94.88418,-57.39346,-70.24422,-4.0671415,130.73508,-325.5117
phase2_24_48_ott_v1,20251205_G08_e01__36to38,20251205_G08_e01,heldout_wt,3,cep290_wildtype,36.0,38.0,37.0,-5030.506,-649.98645,363.90292,5.783543,-97.4572,-47.72127,78.65801,-46.385433,-244.04036,274.8856
phase2_24_48_ott_v1,20251205_G08_e01__38to40,20251205_G08_e01,heldout_wt,3,cep290_wildtype,38.0,40.0,39.0,2270.5186,-580.87054,-144.00777,29.146837,86.59024,-23.035526,17.90333,53.10758,71.33471,-115.25297
phase2_24_48_ott_v1,20251205_G08_e01__40to42,20251205_G08_e01,heldout_wt,3,cep290_wildtype,40.0,42.0,41.0,-1844.1257,-687.533,194.01007,-94.304726,9.108639,27.994926,68.51112,43.8896,-122.13697,-23.736025
phase2_24_48_ott_v1,20251205_G08_e01__42to44,20251205_G08_e01,heldout_wt,3,cep290_wildtype,42.0,44.0,43.0,-1267.4171,-860.9024,119.38643,-175.80829,-22.387583,5.938035,-22.477194,27.824793,14.472971,-14.203235
phase2_24_48_ott_v1,20251205_G08_e01__44to46,20251205_G08_e01,heldout_wt,3,cep290_wildtype,44.0,46.0,45.0,1936.1948,130.85907,-92.38706,34.360493,108.98932,-127.07526,0.23885658,42.01354,-67.2651,-124.637
phase2_24_48_ott_v1,20251205_G08_e01__46to48,20251205_G08_e01,heldout_wt,3,cep290_wildtype,46.0,48.0,47.0,24358.002,5938.85,-2130.9568,5513.03,-4508.621,-2125.9365,3194.4111,-2468.8154,4870.881,5019.048
phase2_24_48_ott_v1,20251112_H12_e01__24to26,20251112_H12_e01,mutant,1,cep290_homozygous,24.0,26.0,25.0,-320.73837,-852.32086,101.858734,-15.486743,65.10547,22.407635,-27.640905,44.740314,-21.859951,2.6423616
phase2_24_48_ott_v1,20251112_H12_e01__26to28,20251112_H12_e01,mutant,1,cep290_homozygous,26.0,28.0,27.0,-1061.9666,-776.6974,152.36,29.914211,27.512768,43.69055,51.778893,67.35595,-100.39022,18.386803
phase2_24_48_ott_v1,20251112_H12_e01__28to30,20251112_H12_e01,mutant,1,cep290_homozygous,28.0,30.0,29.0,-1082.6929,-757.4815,97.04453,-38.261204,-9.531603,48.4724,67.511086,30.96674,-79.20723,30.717701
phase2_24_48_ott_v1,20251112_H12_e01__30to32,20251112_H12_e01,mutant,1,cep290_homozygous,30.0,32.0,31.0,384.3164,-648.91754,-31.0296,-86.9712,33.940002,-28.511559,-22.980528,-8.298034,-4.9289074,-55.528873
phase2_24_48_ott_v1,20251112_H12_e01__32to34,20251112_H12_e01,mutant,1,cep290_homozygous,32.0,34.0,33.0,-921.63947,-645.86005,149.90268,7.734906,11.888404,6.6446004,37.19106,54.35382,-31.328386,8.054357
phase2_24_48_ott_v1,20251112_H12_e01__34to36,20251112_H12_e01,mutant,1,cep290_homozygous,34.0,36.0,35.0,-1523.267,-737.18365,238.22049,12.846402,-17.133656,17.291162,72.867836,42.61943,-51.602394,-15.285049
phase2_24_48_ott_v1,20251112_H12_e01__36to38,20251112_H12_e01,mutant,1,cep290_homozygous,36.0,38.0,37.0,913.9473,-720.044,-35.25009,-57.07884,-5.3582854,-40.47908,-40.60438,28.390089,0.9942207,-27.179636
phase2_24_48_ott_v1,20251112_H12_e01__38to40,20251112_H12_e01,mutant,1,cep290_homozygous,38.0,40.0,39.0,-307.33746,-641.6256,73.09571,-42.83873,-11.387689,-34.366413,17.326603,33.219414,6.06744,-32.04593
phase2_24_48_ott_v1,20251112_H12_e01__40to42,20251112_H12_e01,mutant,1,cep290_homozygous,40.0,42.0,41.0,729.79254,-686.367,-64.61998,-67.21686,-10.336038,-33.62892,-28.666126,-11.091714,28.283752,-89.44423
phase2_24_48_ott_v1,20251112_H12_e01__42to44,20251112_H12_e01,mutant,1,cep290_homozygous,42.0,44.0,43.0,-1622.6603,-772.7448,291.82156,45.4185,29.416338,32.350403,77.887924,77.18079,-79.03961,31.245653
phase2_24_48_ott_v1,20251112_H12_e01__44to46,20251112_H12_e01,mutant,1,cep290_homozygous,44.0,46.0,45.0,15492.786,2068.5742,-2717.2385,-2276.527,-554.85913,-972.55347,241.38295,-1107.8466,2122.686,-1654.4374
phase2_24_48_ott_v1,20251112_H12_e01__46to48,20251112_H12_e01,mutant,1,cep290_homozygous,46.0,48.0,47.0,-12292.853,8463.175,-299.9213,234.3636,1076.8467,-150.18079,-1352.5048,-212.42638,-771.3992,1370.2402
phase2_24_48_ott_v1,20251205_C01_e01__24to26,20251205_C01_e01,mutant,2,cep290_homozygous,24.0,26.0,25.0,-1841.5199,-53.705105,61.194653,40.319195,-17.750753,-37.724007,62.421833,60.656292,-102.4293,30.501398
phase2_24_48_ott_v1,20251205_C01_e01__26to28,20251205_C01_e01,mutant,2,cep290_homozygous,26.0,28.0,27.0,-592.3617,-700.5497,8.169985,-180.12115,55.21761,-62.535336,60.093082,-66.14132,25.504204,-26.547522
phase2_24_48_ott_v1,20251205_C01_e01__28to30,20251205_C01_e01,mutant,2,cep290_homozygous,28.0,30.0,29.0,-1364.5232,-593.77875,119.53547,75.77887,-31.733011,31.357777,45.83102,31.25076,-37.751835,87.767136
phase2_24_48_ott_v1,20251205_C01_e01__30to32,20251205_C01_e01,mutant,2,cep290_homozygous,30.0,32.0,31.0,-1499.2532,-635.1142,165.92276,97.67808,-21.444613,32.51434,72.079605,50.18344,-71.903694,53.777267
phase2_24_48_ott_v1,20251205_C01_e01__32to34,20251205_C01_e01,mutant,2,cep290_homozygous,32.0,34.0,33.0,124.4945,-803.1575,54.018707,-27.730839,16.251652,21.24798,-13.427723,54.173553,-7.009977,-27.941746
phase2_24_48_ott_v1,20251205_C01_e01__34to36,20251205_C01_e01,mutant,2,cep290_homozygous,34.0,36.0,35.0,-474.70007,-736.53735,84.28761,-11.234365,-41.145035,-17.861242,-0.18147357,9.90864,-1.8502167,-1.6542133
phase2_24_48_ott_v1,20251205_C01_e01__36to38,20251205_C01_e01,mutant,2,cep290_homozygous,36.0,38.0,37.0,120.63235,-744.6118,35.133736,-54.78423,-7.747139,0.80205566,-25.78211,18.549273,25.705881,-27.273
phase2_24_48_ott_v1,20251205_C01_e01__38to40,20251205_C01_e01,mutant,2,cep290_homozygous,38.0,40.0,39.0,-1679.9517,-502.56,237.5625,137.42705,-3.1794593,5.567554,3.5804152,23.62775,-130.27205,9.662699
phase2_24_48_ott_v1,20251205_C01_e01__40to42,20251205_C01_e01,mutant,2,cep290_homozygous,40.0,42.0,41.0,-173.83308,-757.82996,103.21955,-6.5088487,-1.104304,-8.331002,-6.0411625,50.965115,-5.855753,-19.448063
phase2_24_48_ott_v1,20251205_C01_e01__42to44,20251205_C01_e01,mutant,2,cep290_homozygous,42.0,44.0,43.0,-145.45457,-742.79663,71.30173,-40.42647,29.636932,11.572321,-4.753934,28.050104,6.9710746,-45.893078
phase2_24_48_ott_v1,20251205_C01_e01__44to46,20251205_C01_e01,mutant,2,cep290_homozygous,44.0,46.0,45.0,-556.7069,-745.5003,119.73688,-20.088167,0.49236983,1.1562704,23.097128,49.670837,-6.7985244,-8.659723
phase2_24_48_ott_v1,20251205_C01_e01__46to48,20251205_C01_e01,mutant,2,cep290_homozygous,46.0,48.0,47.0,-1030.0731,-689.9665,158.1966,-26.513327,59.265854,12.771724,20.057251,52.07947,-66.69087,-54.979866
phase2_24_48_ott_v1,20251112_C12_e01__24to26,20251112_C12_e01,mutant,3,cep290_homozygous,24.0,26.0,25.0,-400.043,-585.6318,56.208004,-38.314575,20.703644,-12.411989,6.0398674,10.954327,-35.933914,-6.460287
phase2_24_48_ott_v1,20251112_C12_e01__26to28,20251112_C12_e01,mutant,3,cep290_homozygous,26.0,28.0,27.0,-1208.5432,-591.79474,129.75229,35.847816,49.00478,9.961288,45.259136,46.26306,-59.988106,-19.51587
phase2_24_48_ott_v1,20251112_C12_e01__28to30,20251112_C12_e01,mutant,3,cep290_homozygous,28.0,30.0,29.0,-685.0032,-727.8603,73.215805,-26.888386,15.930213,26.339624,23.443596,4.163111,-19.396597,-47.99909
phase2_24_48_ott_v1,20251112_C12_e01__30to32,20251112_C12_e01,mutant,3,cep290_homozygous,30.0,32.0,31.0,-1198.808,-779.2188,155.33253,42.0292,-41.922184,53.201366,30.203146,17.430958,-32.06303,58.000107
phase2_24_48_ott_v1,20251112_C12_e01__32to34,20251112_C12_e01,mutant,3,cep290_homozygous,32.0,34.0,33.0,-208.89043,-626.5045,58.654152,-46.802364,3.5216274,-19.402727,0.8915969,32.561184,-5.2196336,-24.243433
phase2_24_48_ott_v1,20251112_C12_e01__34to36,20251112_C12_e01,mutant,3,cep290_homozygous,34.0,36.0,35.0,379.9156,-889.44275,109.20974,-34.237297,15.342529,-26.203245,8.309008,54.706955,44.470818,-81.38067
phase2_24_48_ott_v1,20251112_C12_e01__36to38,20251112_C12_e01,mutant,3,cep290_homozygous,36.0,38.0,37.0,-5.759291,-780.6347,15.620404,-101.509346,7.106753,-1.2104946,-21.231264,38.275127,25.689392,1.8120856
phase2_24_48_ott_v1,20251112_C12_e01__38to40,20251112_C12_e01,mutant,3,cep290_homozygous,38.0,40.0,39.0,-3523.9807,-744.05005,399.79218,-66.59792,-48.525387,117.88999,70.80282,84.39443,-139.68456,-71.08681
phase2_24_48_ott_v1,20251112_C12_e01__40to42,20251112_C12_e01,mutant,3,cep290_homozygous,40.0,42.0,41.0,-1596.8269,-828.49164,244.56868,95.31264,-16.380737,121.90073,38.452763,95.63415,-19.522663,-4.5082664
phase2_24_48_ott_v1,20251112_C12_e01__42to44,20251112_C12_e01,mutant,3,cep290_homozygous,42.0,44.0,43.0,27998.795,5451.4688,-17128.553,-12492.134,-5843.242,-28282.225,-25192.553,3239.6985,-14735.216,4848.7188
phase2_24_48_ott_v1,20251112_C12_e01__44to46,20251112_C12_e01,mutant,3,cep290_homozygous,44.0,46.0,45.0,-22156.23,26282.69,-2135.0571,-277.61108,873.30774,3777.727,1861.795,-25055.018,-18061.23,-11654.974
phase2_24_48_ott_v1,20251112_C12_e01__46to48,20251112_C12_e01,mutant,3,cep290_homozygous,46.0,48.0,47.0,35297.88,16959.652,45575.062,-15087.227,-1700.5895,-2914.7322,-2670.3103,1189.7216,-1321.0856,-1577.5624
phase2_24_48_ott_v1,20251112_B09_e01__24to26,20251112_B09_e01,mutant,4,cep290_homozygous,24.0,26.0,25.0,-277.21698,-655.361,100.506355,44.475925,-36.061466,2.008234,0.5406541,43.811413,24.68024,58.858704
phase2_24_48_ott_v1,20251112_B09_e01__26to28,20251112_B09_e01,mutant,4,cep290_homozygous,26.0,28.0,27.0,-798.3292,-751.2026,71.708916,-54.24016,-3.8602831,48.19035,23.711939,-47.22354,-97.1563,-39.882767
phase2_24_48_ott_v1,20251112_B09_e01__28to30,20251112_B09_e01,mutant,4,cep290_homozygous,28.0,30.0,29.0,-1145.2164,-540.653,137.18777,25.61858,-24.466965,44.657707,44.322414,54.24036,-41.52366,12.56844
phase2_24_48_ott_v1,20251112_B09_e01__30to32,20251112_B09_e01,mutant,4,cep290_homozygous,30.0,32.0,31.0,-977.6053,-620.1441,61.52398,-38.800987,-71.92821,-5.043254,-2.3546176,15.746971,-32.602287,79.029625
phase2_24_48_ott_v1,20251112_B09_e01__32to34,20251112_B09_e01,mutant,4,cep290_homozygous,32.0,34.0,33.0,100.7004,-671.42633,19.075352,-64.07284,4.646039,8.737915,-10.574982,30.103575,8.06842,-63.686005
phase2_24_48_ott_v1,20251112_B09_e01__34to36,20251112_B09_e01,mutant,4,cep290_homozygous,34.0,36.0,35.0,-2277.6074,-583.47815,333.41275,-22.141205,-3.8989735,116.87167,130.39108,-35.608727,-38.509132,-21.085424
phase2_24_48_ott_v1,20251112_B09_e01__36to38,20251112_B09_e01,mutant,4,cep290_homozygous,36.0,38.0,37.0,-1000.9924,-689.99286,180.87085,-7.473429,-9.209465,-22.36291,46.194916,38.410397,-33.934895,-10.021061
phase2_24_48_ott_v1,20251112_B09_e01__38to40,20251112_B09_e01,mutant,4,cep290_homozygous,38.0,40.0,39.0,-19.620129,-730.6121,52.456646,-77.34932,18.188374,-25.095282,-35.246548,30.875092,7.5882063,-52.262966
phase2_24_48_ott_v1,20251112_B09_e01__40to42,20251112_B09_e01,mutant,4,cep290_homozygous,40.0,42.0,41.0,-1249.5392,-751.83374,195.53447,-4.147732,41.5815,24.927807,-9.11447,83.639915,-29.61426,-60.04185
phase2_24_48_ott_v1,20251112_B09_e01__42to44,20251112_B09_e01,mutant,4,cep290_homozygous,42.0,44.0,43.0,62.322834,-692.3356,35.49073,-58.12368,15.167917,3.189822,-27.346483,27.910757,-5.692273,-47.86208
phase2_24_48_ott_v1,20251112_B09_e01__44to46,20251112_B09_e01,mutant,4,cep290_homozygous,44.0,46.0,45.0,29488.902,7851.7305,-13383.531,-15735.771,-15323.112,36555.86,-6936.0146,7173.311,-6965.4043,-1013.68854
phase2_24_48_ott_v1,20251112_B09_e01__46to48,20251112_B09_e01,mutant,4,cep290_homozygous,46.0,48.0,47.0,-18382.674,16650.68,-734.57446,1258.8151,1014.58636,-1432.0237,477.57657,-4514.6074,-1243.4387,2749.6895
phase2_24_48_ott_v1,20251205_C09_e01__24to26,20251205_C09_e01,mutant,5,cep290_homozygous,24.0,26.0,25.0,-603.20514,-294.59848,5.344369,-127.9874,4.957237,34.48174,10.751001,-7.6387243,-20.270262,-82.27379
phase2_24_48_ott_v1,20251205_C09_e01__26to28,20251205_C09_e01,mutant,5,cep290_homozygous,26.0,28.0,27.0,53.346016,-775.4227,30.9238,-16.305683,85.07594,-41.90829,-10.218351,33.66472,62.323544,-14.213936
phase2_24_48_ott_v1,20251205_C09_e01__28to30,20251205_C09_e01,mutant,5,cep290_homozygous,28.0,30.0,29.0,-1799.2323,-371.46927,180.54733,118.7969,-46.80287,59.596798,98.25698,21.077923,-121.597786,72.5687
phase2_24_48_ott_v1,20251205_C09_e01__30to32,20251205_C09_e01,mutant,5,cep290_homozygous,30.0,32.0,31.0,345.1444,-747.2352,14.130618,-0.5325468,-2.400944,-51.940468,5.7596936,13.040415,25.780949,-20.312595
phase2_24_48_ott_v1,20251205_C09_e01__32to34,20251205_C09_e01,mutant,5,cep290_homozygous,32.0,34.0,33.0,-379.47354,-695.33826,81.46123,-54.306,19.15876,11.308299,25.225306,22.733297,-46.93326,-79.50183
phase2_24_48_ott_v1,20251205_C09_e01__34to36,20251205_C09_e01,mutant,5,cep290_homozygous,34.0,36.0,35.0,-2182.5745,-659.3711,245.65672,131.47386,25.326962,-4.0364456,30.56362,46.566742,-86.914375,101.764854
phase2_24_48_ott_v1,20251205_C09_e01__36to38,20251205_C09_e01,mutant,5,cep290_homozygous,36.0,38.0,37.0,-677.65015,-745.21094,93.03148,-17.304207,-14.213415,-0.9550629,-34.606365,19.70277,-49.140224,11.8381815
phase2_24_48_ott_v1,20251205_C09_e01__38to40,20251205_C09_e01,mutant,5,cep290_homozygous,38.0,40.0,39.0,-1605.5476,-692.08154,211.34352,21.224955,-3.253912,73.8707,52.896427,40.16579,-60.23339,11.266495
phase2_24_48_ott_v1,20251205_C09_e01__40to42,20251205_C09_e01,mutant,5,cep290_homozygous,40.0,42.0,41.0,-898.60913,-869.18585,163.9005,47.683704,-38.76682,20.913221,44.23515,24.877304,-47.440506,69.79912
phase2_24_48_ott_v1,20251205_C09_e01__42to44,20251205_C09_e01,mutant,5,cep290_homozygous,42.0,44.0,43.0,-1234.978,-655.8878,144.38484,-32.32625,-14.763813,40.223217,9.209905,37.456226,13.282433,-41.562027
phase2_24_48_ott_v1,20251205_C09_e01__44to46,20251205_C09_e01,mutant,5,cep290_homozygous,44.0,46.0,45.0,-2355.7087,-763.23663,357.92383,135.17963,-0.39016858,33.433815,61.782806,76.93654,-96.11315,-49.260902
phase2_24_48_ott_v1,20251205_C09_e01__46to48,20251205_C09_e01,mutant,5,cep290_homozygous,46.0,48.0,47.0,6101.5195,-457.14056,-617.68365,-654.44763,189.94785,-16.073895,-130.30934,-185.1936,300.29562,-432.54355
phase2_24_48_ott_v1,20251112_G09_e01__24to26,20251112_G09_e01,mutant,6,cep290_homozygous,24.0,26.0,25.0,-977.62354,-518.64514,79.384766,-10.613257,-20.485704,40.60859,56.605392,5.957724,-30.156498,19.64791
phase2_24_48_ott_v1,20251112_G09_e01__26to28,20251112_G09_e01,mutant,6,cep290_homozygous,26.0,28.0,27.0,-286.72324,-786.305,115.16853,13.5253725,32.63506,20.637388,0.6544534,50.159203,-39.345036,4.333422
phase2_24_48_ott_v1,20251112_G09_e01__28to30,20251112_G09_e01,mutant,6,cep290_homozygous,28.0,30.0,29.0,681.525,-733.12854,-28.064386,-102.97929,0.29543588,-43.21975,-52.29528,28.294313,41.10748,-72.86715
phase2_24_48_ott_v1,20251112_G09_e01__30to32,20251112_G09_e01,mutant,6,cep290_homozygous,30.0,32.0,31.0,-188.93037,-761.26874,70.55524,-28.189135,23.261616,4.8281007,-20.560352,34.086994,-8.538159,-17.138203
phase2_24_48_ott_v1,20251112_G09_e01__32to34,20251112_G09_e01,mutant,6,cep290_homozygous,32.0,34.0,33.0,-3657.323,-707.4269,477.0659,283.30615,-140.86864,4.9963794,227.27466,9.639848,-52.12666,121.50738
phase2_24_48_ott_v1,20251112_G09_e01__34to36,20251112_G09_e01,mutant,6,cep290_homozygous,34.0,36.0,35.0,-1416.2463,-719.9403,103.56092,-28.718958,12.510157,56.38791,40.625645,14.606514,-104.329765,30.0063
phase2_24_48_ott_v1,20251112_G09_e01__36to38,20251112_G09_e01,mutant,6,cep290_homozygous,36.0,38.0,37.0,-243.15433,-522.2873,-8.755631,-99.77441,-3.926795,1.8025422,-1.7505466,45.57078,27.208252,-36.35529
